dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
cifar10,CNN1,none,5,2,fed_prox,1,1,0,0.2884,5.879143238067627,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,1,1,0.2743,6.024627685546875,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,1,2,0.21050000000000002,7.0704193115234375,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,1,3,0.2458,4.940036296844482,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,1,4,0.2972,5.031791687011719,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,2,0,0.3103,5.631049156188965,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,2,1,0.2927,5.53903865814209,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,2,2,0.2275,7.143003940582275,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,2,3,0.2699,5.330707550048828,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,2,4,0.2831,5.064787864685059,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,3,0,0.3126,5.291838645935059,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,3,1,0.2906,5.358243942260742,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,3,2,0.2316,6.955003261566162,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,3,3,0.2872,4.688248157501221,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,3,4,0.2983,4.9734883308410645,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,4,0,0.3117,5.248414516448975,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,4,1,0.2858,5.470510005950928,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,4,2,0.2266,6.965099811553955,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,4,3,0.2816,4.840960502624512,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,4,4,0.3141,4.356333255767822,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,5,0,0.3227,4.747513294219971,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,5,1,0.291,5.057290077209473,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,5,2,0.2444,6.296960353851318,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,5,3,0.2829,4.946192264556885,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,5,4,0.3191,4.571244239807129,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,6,0,0.3208,5.098917484283447,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,6,1,0.3003,5.008123397827148,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,6,2,0.2505,6.478015422821045,0,0,0
cifar10,CNN1,none,5,2,fed_prox,1,6,3,0.2781,4.7302961349487305,0,0,0
