dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
cifar10,CNN2,none,5,0,fed_avg,1,1,0,0.5209,1.3522486686706543,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,1,1,0.5189,1.3696424961090088,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,1,2,0.49340000000000006,1.394282579421997,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,1,3,0.5127,1.3550982475280762,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,1,4,0.4914,1.4261428117752075,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,2,0,0.588,1.1770473718643188,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,2,1,0.568,1.2008626461029053,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,2,2,0.5723,1.2022120952606201,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,2,3,0.5861,1.1743015050888062,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,2,4,0.5803,1.1815307140350342,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,3,0,0.6331,1.047186017036438,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,3,1,0.5985,1.13656747341156,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,3,2,0.6088,1.1301189661026,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,3,3,0.6472,1.0310357809066772,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,3,4,0.6327,1.0644382238388062,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,4,0,0.6658,0.9591129422187805,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,4,1,0.6778,0.9330520033836365,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,4,2,0.6357,1.0478135347366333,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,4,3,0.6738,0.9445708394050598,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,4,4,0.6772,0.9259211421012878,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,5,0,0.6887000000000001,0.9214315414428711,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,5,1,0.6938,0.9047279357910156,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,5,2,0.6911,0.9063541293144226,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,5,3,0.6988,0.8769647479057312,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,5,4,0.6889,0.8971510529518127,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,6,0,0.7048000000000001,0.8602879643440247,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,6,1,0.7015,0.8730216026306152,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,6,2,0.7116,0.8417001366615295,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,6,3,0.6992,0.8766165971755981,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,6,4,0.7093,0.8530895709991455,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,7,0,0.7415,0.7694157361984253,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,7,1,0.7182,0.8193718791007996,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,7,2,0.7274,0.7947209477424622,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,7,3,0.7254999999999999,0.829731822013855,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,7,4,0.7269,0.7970291972160339,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,8,0,0.72,0.8177460432052612,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,8,1,0.7448999999999999,0.7521244287490845,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,8,2,0.7302,0.8174466490745544,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,8,3,0.733,0.7876187562942505,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,8,4,0.7346,0.7722898125648499,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,9,0,0.7443,0.7547092437744141,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,9,1,0.7496,0.7334024906158447,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,9,2,0.7215,0.8189312815666199,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,9,3,0.7483,0.7357311248779297,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,9,4,0.7186,0.8047314882278442,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,10,0,0.7462000000000001,0.7639505863189697,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,10,1,0.7467,0.732691764831543,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,10,2,0.7644999999999998,0.7014622688293457,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,10,3,0.7494,0.7475636005401611,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,10,4,0.7501000000000001,0.7318464517593384,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,11,0,0.7445,0.7568944096565247,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,11,1,0.7648,0.6927019357681274,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,11,2,0.7604,0.6981857419013977,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,11,3,0.7594999999999998,0.7044420838356018,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,11,4,0.7566000000000002,0.7070621252059937,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,12,0,0.7711,0.6697602868080139,0,0,0
cifar10,CNN2,none,5,0,fed_avg,1,12,1,0.7792999999999999,0.6400509476661682,0,0,0
