dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
mnist,LeNet5,none,5,0,fed_mutual,1,1,0,0.9664,0.10325013101100922,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,1,1,0.9667999999999999,0.1093113124370575,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,1,2,0.9656,0.11269950866699219,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,1,3,0.9611,0.12174300104379654,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,1,4,0.9678999999999999,0.10126560181379318,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,2,0,0.9765999999999999,0.0679393857717514,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,2,1,0.9741,0.08033706247806549,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,2,2,0.9728999999999999,0.08111938089132309,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,2,3,0.9781,0.06564179062843323,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,2,4,0.9784,0.06533557921648026,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,3,0,0.9829000000000001,0.05199430510401726,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,3,1,0.9802,0.061702679842710495,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,3,2,0.9808,0.05595015361905098,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,3,3,0.9811999999999999,0.06040223687887192,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,3,4,0.9802,0.05983639508485794,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,4,0,0.9835,0.05227232724428177,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,4,1,0.9828,0.05161428451538086,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,4,2,0.9817,0.05479475483298302,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,4,3,0.9815999999999999,0.058544889092445374,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,4,4,0.9841,0.04895604029297829,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,5,0,0.9836,0.047999896109104156,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,5,1,0.9865,0.0441729836165905,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,5,2,0.9848,0.047239452600479126,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,5,3,0.9859,0.045242927968502045,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,5,4,0.9835,0.04813125729560852,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,6,0,0.9858,0.04215029999613762,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,6,1,0.9843,0.04985005035996437,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,6,2,0.983,0.05133887380361557,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,6,3,0.9861999999999999,0.039769113063812256,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,6,4,0.986,0.04206538572907448,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,7,0,0.9844000000000002,0.04495653882622719,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,7,1,0.9850999999999999,0.04592958837747574,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,7,2,0.9859,0.04159960895776749,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,7,3,0.9861999999999999,0.042561691254377365,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,7,4,0.9868000000000001,0.041299816220998764,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,8,0,0.9886,0.03669094666838646,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,8,1,0.9863,0.04360384866595268,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,8,2,0.9859,0.04161988943815231,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,8,3,0.9857,0.04149046167731285,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,8,4,0.9879000000000001,0.036241598427295685,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,9,0,0.9891,0.03390068933367729,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,9,1,0.9865999999999999,0.04180296137928963,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,9,2,0.988,0.035325776785612106,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,9,3,0.9872,0.039332322776317596,0,0,0
mnist,LeNet5,none,5,0,fed_mutual,1,9,4,0.9890000000000001,0.035000577569007874,0,0,0
