dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
mnist,MLP,none,5,1,fed_prox,1,1,0,0.6907,2.396584987640381,0,0,0
mnist,MLP,none,5,1,fed_prox,1,1,1,0.5242,4.114013195037842,0,0,0
mnist,MLP,none,5,1,fed_prox,1,1,2,0.5746,3.6074745655059814,0,0,0
mnist,MLP,none,5,1,fed_prox,1,1,3,0.6028,2.9105465412139893,0,0,0
mnist,MLP,none,5,1,fed_prox,1,1,4,0.48089999999999994,3.7016942501068115,0,0,0
mnist,MLP,none,5,1,fed_prox,1,2,0,0.6945,1.9458338022232056,0,0,0
mnist,MLP,none,5,1,fed_prox,1,2,1,0.5559,2.9199044704437256,0,0,0
mnist,MLP,none,5,1,fed_prox,1,2,2,0.5805,2.689671754837036,0,0,0
mnist,MLP,none,5,1,fed_prox,1,2,3,0.6222,2.437938928604126,0,0,0
mnist,MLP,none,5,1,fed_prox,1,2,4,0.4855,2.8839669227600098,0,0,0
mnist,MLP,none,5,1,fed_prox,1,3,0,0.7026,1.4781463146209717,0,0,0
mnist,MLP,none,5,1,fed_prox,1,3,1,0.5739,2.1086032390594482,0,0,0
mnist,MLP,none,5,1,fed_prox,1,3,2,0.6014,2.164782762527466,0,0,0
mnist,MLP,none,5,1,fed_prox,1,3,3,0.6417,1.754389762878418,0,0,0
mnist,MLP,none,5,1,fed_prox,1,3,4,0.4888,2.314364433288574,0,0,0
mnist,MLP,none,5,1,fed_prox,1,4,0,0.7296,1.1496371030807495,0,0,0
mnist,MLP,none,5,1,fed_prox,1,4,1,0.6119,1.6945077180862427,0,0,0
mnist,MLP,none,5,1,fed_prox,1,4,2,0.6459,1.6409392356872559,0,0,0
mnist,MLP,none,5,1,fed_prox,1,4,3,0.6396,1.5016510486602783,0,0,0
mnist,MLP,none,5,1,fed_prox,1,4,4,0.5455,1.6308194398880005,0,0,0
mnist,MLP,none,5,1,fed_prox,1,5,0,0.7548999999999999,0.9908875226974487,0,0,0
mnist,MLP,none,5,1,fed_prox,1,5,1,0.6484000000000001,1.420792579650879,0,0,0
mnist,MLP,none,5,1,fed_prox,1,5,2,0.6647,1.5404772758483887,0,0,0
mnist,MLP,none,5,1,fed_prox,1,5,3,0.6625,1.2421009540557861,0,0,0
mnist,MLP,none,5,1,fed_prox,1,5,4,0.5659,1.4818979501724243,0,0,0
mnist,MLP,none,5,1,fed_prox,1,6,0,0.7796,0.8168728351593018,0,0,0
mnist,MLP,none,5,1,fed_prox,1,6,1,0.6978,1.1221013069152832,0,0,0
mnist,MLP,none,5,1,fed_prox,1,6,2,0.7064,1.195881724357605,0,0,0
mnist,MLP,none,5,1,fed_prox,1,6,3,0.6878,1.0697895288467407,0,0,0
mnist,MLP,none,5,1,fed_prox,1,6,4,0.6036,1.317387342453003,0,0,0
mnist,MLP,none,5,1,fed_prox,1,7,0,0.7812,0.8521069288253784,0,0,0
mnist,MLP,none,5,1,fed_prox,1,7,1,0.6992,1.155813217163086,0,0,0
mnist,MLP,none,5,1,fed_prox,1,7,2,0.7248,1.102298378944397,0,0,0
mnist,MLP,none,5,1,fed_prox,1,7,3,0.7067,0.9850043058395386,0,0,0
mnist,MLP,none,5,1,fed_prox,1,7,4,0.6327,1.2144954204559326,0,0,0
mnist,MLP,none,5,1,fed_prox,1,8,0,0.8042,0.7409844994544983,0,0,0
mnist,MLP,none,5,1,fed_prox,1,8,1,0.7101,1.083715558052063,0,0,0
