dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
mnist,MLP,none,5,2,normal,1,1,0,0.473,4.313241958618164,0,0,0
mnist,MLP,none,5,2,normal,1,1,1,0.58,5.0040388107299805,0,0,0
mnist,MLP,none,5,2,normal,1,1,2,0.37810000000000005,6.2269606590271,0,0,0
mnist,MLP,none,5,2,normal,1,1,3,0.392,7.522637844085693,0,0,0
mnist,MLP,none,5,2,normal,1,1,4,0.4073,7.328121185302734,0,0,0
mnist,MLP,none,5,2,normal,1,2,0,0.4755,4.309877872467041,0,0,0
mnist,MLP,none,5,2,normal,1,2,1,0.5815,5.050076961517334,0,0,0
mnist,MLP,none,5,2,normal,1,2,2,0.385,6.051761150360107,0,0,0
mnist,MLP,none,5,2,normal,1,2,3,0.3917,7.959746360778809,0,0,0
mnist,MLP,none,5,2,normal,1,2,4,0.4082,7.747409820556641,0,0,0
mnist,MLP,none,5,2,normal,1,3,0,0.4866,4.367287635803223,0,0,0
mnist,MLP,none,5,2,normal,1,3,1,0.5745,5.262573719024658,0,0,0
mnist,MLP,none,5,2,normal,1,3,2,0.3863,6.236536026000977,0,0,0
mnist,MLP,none,5,2,normal,1,3,3,0.3907,8.00223445892334,0,0,0
mnist,MLP,none,5,2,normal,1,3,4,0.4068,8.000795364379883,0,0,0
mnist,MLP,none,5,2,normal,1,4,0,0.4617,4.6055521965026855,0,0,0
mnist,MLP,none,5,2,normal,1,4,1,0.577,5.1369805335998535,0,0,0
mnist,MLP,none,5,2,normal,1,4,2,0.3827,6.4535956382751465,0,0,0
mnist,MLP,none,5,2,normal,1,4,3,0.3917,7.7642436027526855,0,0,0
mnist,MLP,none,5,2,normal,1,4,4,0.4096,7.7354607582092285,0,0,0
mnist,MLP,none,5,2,normal,1,5,0,0.47729999999999995,4.2450270652771,0,0,0
mnist,MLP,none,5,2,normal,1,5,1,0.582,5.2302446365356445,0,0,0
mnist,MLP,none,5,2,normal,1,5,2,0.3811,5.788567543029785,0,0,0
mnist,MLP,none,5,2,normal,1,5,3,0.3918,7.950859069824219,0,0,0
mnist,MLP,none,5,2,normal,1,5,4,0.4075,7.300032615661621,0,0,0
mnist,MLP,none,5,2,normal,1,6,0,0.469,4.401192665100098,0,0,0
mnist,MLP,none,5,2,normal,1,6,1,0.5772,5.14813756942749,0,0,0
mnist,MLP,none,5,2,normal,1,6,2,0.3831,6.046304225921631,0,0,0
mnist,MLP,none,5,2,normal,1,6,3,0.3908,7.68013334274292,0,0,0
mnist,MLP,none,5,2,normal,1,6,4,0.4083,7.445018291473389,0,0,0
mnist,MLP,none,5,2,normal,1,7,0,0.4925,4.217954158782959,0,0,0
mnist,MLP,none,5,2,normal,1,7,1,0.5839,4.868897438049316,0,0,0
mnist,MLP,none,5,2,normal,1,7,2,0.3823,6.0688157081604,0,0,0
mnist,MLP,none,5,2,normal,1,7,3,0.38909999999999995,7.179758071899414,0,0,0
mnist,MLP,none,5,2,normal,1,7,4,0.4086,7.357062816619873,0,0,0
mnist,MLP,none,5,2,normal,1,8,0,0.484,4.354650497436523,0,0,0
mnist,MLP,none,5,2,normal,1,8,1,0.5798,4.969178199768066,0,0,0
mnist,MLP,none,5,2,normal,1,8,2,0.3864,5.97688627243042,0,0,0
mnist,MLP,none,5,2,normal,1,8,3,0.3907,7.306145668029785,0,0,0
mnist,MLP,none,5,2,normal,1,8,4,0.4096,7.576431751251221,0,0,0
mnist,MLP,none,5,2,normal,1,9,0,0.48219999999999996,4.289815425872803,0,0,0
mnist,MLP,none,5,2,normal,1,9,1,0.5871,4.9635396003723145,0,0,0
mnist,MLP,none,5,2,normal,1,9,2,0.3838,6.127306938171387,0,0,0
mnist,MLP,none,5,2,normal,1,9,3,0.3908,7.671280384063721,0,0,0
mnist,MLP,none,5,2,normal,1,9,4,0.40869999999999995,7.5193257331848145,0,0,0
mnist,MLP,none,5,2,normal,1,10,0,0.4731,4.529833793640137,0,0,0
mnist,MLP,none,5,2,normal,1,10,1,0.581,5.113579273223877,0,0,0
mnist,MLP,none,5,2,normal,1,10,2,0.3834,6.015185356140137,0,0,0
mnist,MLP,none,5,2,normal,1,10,3,0.3917,7.0641961097717285,0,0,0
mnist,MLP,none,5,2,normal,1,10,4,0.4093,7.275406360626221,0,0,0
mnist,MLP,none,5,2,normal,1,11,0,0.4903,4.269340515136719,0,0,0
mnist,MLP,none,5,2,normal,1,11,1,0.5829,5.064846992492676,0,0,0
mnist,MLP,none,5,2,normal,1,11,2,0.3859,5.936065673828125,0,0,0
mnist,MLP,none,5,2,normal,1,11,3,0.3922,7.4934515953063965,0,0,0
mnist,MLP,none,5,2,normal,1,11,4,0.4094,8.107234954833984,0,0,0
mnist,MLP,none,5,2,normal,1,12,0,0.4857,4.139948844909668,0,0,0
mnist,MLP,none,5,2,normal,1,12,1,0.5827,5.033115386962891,0,0,0
mnist,MLP,none,5,2,normal,1,12,2,0.3845,5.855294704437256,0,0,0
mnist,MLP,none,5,2,normal,1,12,3,0.3917,6.889568328857422,0,0,0
mnist,MLP,none,5,2,normal,1,12,4,0.4077,7.45843505859375,0,0,0
mnist,MLP,none,5,2,normal,1,13,0,0.47240000000000004,4.435886859893799,0,0,0
mnist,MLP,none,5,2,normal,1,13,1,0.5823,4.996777057647705,0,0,0
mnist,MLP,none,5,2,normal,1,13,2,0.38170000000000004,6.197422027587891,0,0,0
mnist,MLP,none,5,2,normal,1,13,3,0.3911,7.44842529296875,0,0,0
mnist,MLP,none,5,2,normal,1,13,4,0.40869999999999995,7.130879878997803,0,0,0
mnist,MLP,none,5,2,normal,1,14,0,0.4894,4.247200012207031,0,0,0
mnist,MLP,none,5,2,normal,1,14,1,0.5842,4.933149814605713,0,0,0
mnist,MLP,none,5,2,normal,1,14,2,0.3833,6.112161636352539,0,0,0
mnist,MLP,none,5,2,normal,1,14,3,0.3923,6.948957920074463,0,0,0
mnist,MLP,none,5,2,normal,1,14,4,0.4073,6.9779276847839355,0,0,0
mnist,MLP,none,5,2,normal,1,15,0,0.4779,4.432778358459473,0,0,0
mnist,MLP,none,5,2,normal,1,15,1,0.5816,5.070797920227051,0,0,0
mnist,MLP,none,5,2,normal,1,15,2,0.3851,6.1795654296875,0,0,0
mnist,MLP,none,5,2,normal,1,15,3,0.3921,7.045090675354004,0,0,0
mnist,MLP,none,5,2,normal,1,15,4,0.4084999999999999,7.0821404457092285,0,0,0
mnist,MLP,none,5,2,normal,1,16,0,0.4623999999999999,4.593092441558838,0,0,0
mnist,MLP,none,5,2,normal,1,16,1,0.5783,5.07554292678833,0,0,0
mnist,MLP,none,5,2,normal,1,16,2,0.3856,6.040095329284668,0,0,0
mnist,MLP,none,5,2,normal,1,16,3,0.39149999999999996,7.728635787963867,0,0,0
mnist,MLP,none,5,2,normal,1,16,4,0.4084999999999999,7.037200927734375,0,0,0
mnist,MLP,none,5,2,normal,1,17,0,0.4922000000000001,4.122848987579346,0,0,0
mnist,MLP,none,5,2,normal,1,17,1,0.5824,5.132833480834961,0,0,0
mnist,MLP,none,5,2,normal,1,17,2,0.3857,5.937618732452393,0,0,0
mnist,MLP,none,5,2,normal,1,17,3,0.3919,7.613230228424072,0,0,0
mnist,MLP,none,5,2,normal,1,17,4,0.4091,7.698174476623535,0,0,0
mnist,MLP,none,5,2,normal,1,18,0,0.488,4.206972122192383,0,0,0
mnist,MLP,none,5,2,normal,1,18,1,0.58,4.9527764320373535,0,0,0
mnist,MLP,none,5,2,normal,1,18,2,0.3858,6.046311855316162,0,0,0
mnist,MLP,none,5,2,normal,1,18,3,0.3922,7.111340045928955,0,0,0
mnist,MLP,none,5,2,normal,1,18,4,0.40869999999999995,6.741420269012451,0,0,0
mnist,MLP,none,5,2,normal,1,19,0,0.48350000000000004,4.356344223022461,0,0,0
mnist,MLP,none,5,2,normal,1,19,1,0.5833,4.817203044891357,0,0,0
mnist,MLP,none,5,2,normal,1,19,2,0.38539999999999996,6.121707916259766,0,0,0
mnist,MLP,none,5,2,normal,1,19,3,0.3914,7.627825736999512,0,0,0
mnist,MLP,none,5,2,normal,1,19,4,0.4078,7.3596272468566895,0,0,0
mnist,MLP,none,5,2,normal,1,20,0,0.4863,4.373735427856445,0,0,0
mnist,MLP,none,5,2,normal,1,20,1,0.5819,5.245611190795898,0,0,0
mnist,MLP,none,5,2,normal,1,20,2,0.3811,6.338321685791016,0,0,0
mnist,MLP,none,5,2,normal,1,20,3,0.3912,7.7757887840271,0,0,0
mnist,MLP,none,5,2,normal,1,20,4,0.4075,7.407926082611084,0,0,0
mnist,MLP,none,5,2,normal,1,21,0,0.4886,4.231180667877197,0,0,0
mnist,MLP,none,5,2,normal,1,21,1,0.5842,5.095944881439209,0,0,0
mnist,MLP,none,5,2,normal,1,21,2,0.38409999999999994,5.95273494720459,0,0,0
mnist,MLP,none,5,2,normal,1,21,3,0.3919,7.351605415344238,0,0,0
mnist,MLP,none,5,2,normal,1,21,4,0.4079,7.322344779968262,0,0,0
mnist,MLP,none,5,2,normal,1,22,0,0.5034,4.093753814697266,0,0,0
mnist,MLP,none,5,2,normal,1,22,1,0.5826,5.143588542938232,0,0,0
mnist,MLP,none,5,2,normal,1,22,2,0.3865,6.130275726318359,0,0,0
mnist,MLP,none,5,2,normal,1,22,3,0.3919,7.448782444000244,0,0,0
mnist,MLP,none,5,2,normal,1,22,4,0.4083,7.499910354614258,0,0,0
mnist,MLP,none,5,2,normal,1,23,0,0.4772,4.202626705169678,0,0,0
mnist,MLP,none,5,2,normal,1,23,1,0.5781,5.05833625793457,0,0,0
mnist,MLP,none,5,2,normal,1,23,2,0.3856,5.884986400604248,0,0,0
mnist,MLP,none,5,2,normal,1,23,3,0.39149999999999996,7.388477325439453,0,0,0
mnist,MLP,none,5,2,normal,1,23,4,0.4059,7.436552047729492,0,0,0
mnist,MLP,none,5,2,normal,1,24,0,0.5025,4.051553726196289,0,0,0
mnist,MLP,none,5,2,normal,1,24,1,0.5822,5.179762363433838,0,0,0
mnist,MLP,none,5,2,normal,1,24,2,0.3814,6.124223232269287,0,0,0
mnist,MLP,none,5,2,normal,1,24,3,0.3913,7.567838668823242,0,0,0
mnist,MLP,none,5,2,normal,1,24,4,0.4082,7.586818218231201,0,0,0
mnist,MLP,none,5,2,normal,1,25,0,0.4926,4.1006975173950195,0,0,0
mnist,MLP,none,5,2,normal,1,25,1,0.5835,5.090414047241211,0,0,0
mnist,MLP,none,5,2,normal,1,25,2,0.3833,6.433961868286133,0,0,0
mnist,MLP,none,5,2,normal,1,25,3,0.3918,7.36224365234375,0,0,0
mnist,MLP,none,5,2,normal,1,25,4,0.40880000000000005,7.608107566833496,0,0,0
mnist,MLP,none,5,2,normal,1,26,0,0.49939999999999996,4.140831470489502,0,0,0
mnist,MLP,none,5,2,normal,1,26,1,0.5782,5.310020446777344,0,0,0
mnist,MLP,none,5,2,normal,1,26,2,0.3844000000000001,6.004790306091309,0,0,0
mnist,MLP,none,5,2,normal,1,26,3,0.39019999999999994,6.856799125671387,0,0,0
mnist,MLP,none,5,2,normal,1,26,4,0.4067,7.728759765625,0,0,0
mnist,MLP,none,5,2,normal,1,27,0,0.4679,4.359900951385498,0,0,0
mnist,MLP,none,5,2,normal,1,27,1,0.5844,5.119640827178955,0,0,0
mnist,MLP,none,5,2,normal,1,27,2,0.3833,6.172675132751465,0,0,0
mnist,MLP,none,5,2,normal,1,27,3,0.3912,7.466597080230713,0,0,0
mnist,MLP,none,5,2,normal,1,27,4,0.4084,7.217273712158203,0,0,0
mnist,MLP,none,5,2,normal,1,28,0,0.4827,4.495426654815674,0,0,0
mnist,MLP,none,5,2,normal,1,28,1,0.5861,4.971837043762207,0,0,0
mnist,MLP,none,5,2,normal,1,28,2,0.3844000000000001,5.856354236602783,0,0,0
mnist,MLP,none,5,2,normal,1,28,3,0.39050000000000007,7.591604709625244,0,0,0
mnist,MLP,none,5,2,normal,1,28,4,0.40880000000000005,7.259620666503906,0,0,0
mnist,MLP,none,5,2,normal,1,29,0,0.46619999999999995,4.578590393066406,0,0,0
mnist,MLP,none,5,2,normal,1,29,1,0.583,4.884166717529297,0,0,0
mnist,MLP,none,5,2,normal,1,29,2,0.3858,6.15010929107666,0,0,0
mnist,MLP,none,5,2,normal,1,29,3,0.3922,7.421651363372803,0,0,0
mnist,MLP,none,5,2,normal,1,29,4,0.408,7.572053909301758,0,0,0
mnist,MLP,none,5,2,normal,1,30,0,0.49,4.356391906738281,0,0,0
mnist,MLP,none,5,2,normal,1,30,1,0.583,4.701837539672852,0,0,0
mnist,MLP,none,5,2,normal,1,30,2,0.3832,6.125325679779053,0,0,0
mnist,MLP,none,5,2,normal,1,30,3,0.3923,7.494045734405518,0,0,0
mnist,MLP,none,5,2,normal,1,30,4,0.40739999999999993,7.1695475578308105,0,0,0
mnist,MLP,none,5,2,normal,1,31,0,0.4866,4.292993545532227,0,0,0
mnist,MLP,none,5,2,normal,1,31,1,0.5837,5.242765426635742,0,0,0
mnist,MLP,none,5,2,normal,1,31,2,0.3859,6.180813312530518,0,0,0
mnist,MLP,none,5,2,normal,1,31,3,0.39039999999999997,7.776109218597412,0,0,0
mnist,MLP,none,5,2,normal,1,31,4,0.40990000000000004,7.311898231506348,0,0,0
mnist,MLP,none,5,2,normal,1,32,0,0.491,4.150085926055908,0,0,0
mnist,MLP,none,5,2,normal,1,32,1,0.5832,4.95172119140625,0,0,0
mnist,MLP,none,5,2,normal,1,32,2,0.3802,6.281569957733154,0,0,0
mnist,MLP,none,5,2,normal,1,32,3,0.3908,8.171361923217773,0,0,0
mnist,MLP,none,5,2,normal,1,32,4,0.4086,7.570813179016113,0,0,0
mnist,MLP,none,5,2,normal,1,33,0,0.4901,4.219587326049805,0,0,0
mnist,MLP,none,5,2,normal,1,33,1,0.58,5.105827808380127,0,0,0
mnist,MLP,none,5,2,normal,1,33,2,0.3846,6.05499792098999,0,0,0
mnist,MLP,none,5,2,normal,1,33,3,0.3918,7.093965530395508,0,0,0
mnist,MLP,none,5,2,normal,1,33,4,0.4082,7.7323384284973145,0,0,0
mnist,MLP,none,5,2,normal,1,34,0,0.4998,4.1903791427612305,0,0,0
mnist,MLP,none,5,2,normal,1,34,1,0.585,4.924809455871582,0,0,0
mnist,MLP,none,5,2,normal,1,34,2,0.38299999999999995,6.264777183532715,0,0,0
mnist,MLP,none,5,2,normal,1,34,3,0.39149999999999996,6.900628089904785,0,0,0
mnist,MLP,none,5,2,normal,1,34,4,0.4081,7.332490921020508,0,0,0
mnist,MLP,none,5,2,normal,1,35,0,0.4694,4.412035942077637,0,0,0
mnist,MLP,none,5,2,normal,1,35,1,0.586,5.027245044708252,0,0,0
mnist,MLP,none,5,2,normal,1,35,2,0.3815,6.010751724243164,0,0,0
mnist,MLP,none,5,2,normal,1,35,3,0.39160000000000006,7.717803001403809,0,0,0
mnist,MLP,none,5,2,normal,1,35,4,0.407,7.180434226989746,0,0,0
mnist,MLP,none,5,2,normal,1,36,0,0.4935,4.133049488067627,0,0,0
mnist,MLP,none,5,2,normal,1,36,1,0.5857,5.195118427276611,0,0,0
mnist,MLP,none,5,2,normal,1,36,2,0.384,6.2825026512146,0,0,0
mnist,MLP,none,5,2,normal,1,36,3,0.3914,7.773082256317139,0,0,0
mnist,MLP,none,5,2,normal,1,36,4,0.4084,7.2155680656433105,0,0,0
mnist,MLP,none,5,2,normal,1,37,0,0.4862,4.402244567871094,0,0,0
mnist,MLP,none,5,2,normal,1,37,1,0.5836,4.895260810852051,0,0,0
mnist,MLP,none,5,2,normal,1,37,2,0.3832,6.015012264251709,0,0,0
mnist,MLP,none,5,2,normal,1,37,3,0.3917,7.688570976257324,0,0,0
mnist,MLP,none,5,2,normal,1,37,4,0.4084999999999999,7.724007606506348,0,0,0
mnist,MLP,none,5,2,normal,1,38,0,0.4793,4.400162220001221,0,0,0
mnist,MLP,none,5,2,normal,1,38,1,0.5854,5.127750396728516,0,0,0
mnist,MLP,none,5,2,normal,1,38,2,0.3829,5.905309200286865,0,0,0
mnist,MLP,none,5,2,normal,1,38,3,0.39160000000000006,7.6723408699035645,0,0,0
mnist,MLP,none,5,2,normal,1,38,4,0.4086,7.189617156982422,0,0,0
mnist,MLP,none,5,2,normal,1,39,0,0.4824,4.283702373504639,0,0,0
mnist,MLP,none,5,2,normal,1,39,1,0.5818,5.055215358734131,0,0,0
mnist,MLP,none,5,2,normal,1,39,2,0.3837,6.263187408447266,0,0,0
mnist,MLP,none,5,2,normal,1,39,3,0.3912,6.922550201416016,0,0,0
mnist,MLP,none,5,2,normal,1,39,4,0.408,7.789816856384277,0,0,0
mnist,MLP,none,5,2,normal,1,40,0,0.48480000000000006,4.317306041717529,0,0,0
mnist,MLP,none,5,2,normal,1,40,1,0.5814,4.955350399017334,0,0,0
mnist,MLP,none,5,2,normal,1,40,2,0.3832,6.105368137359619,0,0,0
mnist,MLP,none,5,2,normal,1,40,3,0.39149999999999996,7.001181602478027,0,0,0
mnist,MLP,none,5,2,normal,1,40,4,0.4076000000000001,7.979752063751221,0,0,0
mnist,MLP,none,5,2,normal,1,41,0,0.4907,4.245926380157471,0,0,0
mnist,MLP,none,5,2,normal,1,41,1,0.5801,4.9013566970825195,0,0,0
mnist,MLP,none,5,2,normal,1,41,2,0.3835,5.930469512939453,0,0,0
mnist,MLP,none,5,2,normal,1,41,3,0.3921,6.932339191436768,0,0,0
mnist,MLP,none,5,2,normal,1,41,4,0.40880000000000005,7.138935565948486,0,0,0
mnist,MLP,none,5,2,normal,1,42,0,0.4963,4.043917179107666,0,0,0
mnist,MLP,none,5,2,normal,1,42,1,0.5847,5.069056034088135,0,0,0
mnist,MLP,none,5,2,normal,1,42,2,0.3795,6.4453325271606445,0,0,0
mnist,MLP,none,5,2,normal,1,42,3,0.3922,6.99720573425293,0,0,0
