dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
mnist,LeNet5,none,5,1,normal,1,1,0,0.7058,3.529332399368286,0,0,0
mnist,LeNet5,none,5,1,normal,1,1,1,0.5425,5.8064351081848145,0,0,0
mnist,LeNet5,none,5,1,normal,1,1,2,0.5942,4.882240295410156,0,0,0
mnist,LeNet5,none,5,1,normal,1,1,3,0.6323,3.7247884273529053,0,0,0
mnist,LeNet5,none,5,1,normal,1,1,4,0.4878,5.13639497756958,0,0,0
mnist,LeNet5,none,5,1,normal,1,2,0,0.6995999999999999,2.948338747024536,0,0,0
mnist,LeNet5,none,5,1,normal,1,2,1,0.5675,5.252345561981201,0,0,0
mnist,LeNet5,none,5,1,normal,1,2,2,0.596,4.568282604217529,0,0,0
mnist,LeNet5,none,5,1,normal,1,2,3,0.6408,3.7834534645080566,0,0,0
mnist,LeNet5,none,5,1,normal,1,2,4,0.4894,5.439625263214111,0,0,0
mnist,LeNet5,none,5,1,normal,1,3,0,0.703,3.370792865753174,0,0,0
mnist,LeNet5,none,5,1,normal,1,3,1,0.5539,5.090703010559082,0,0,0
mnist,LeNet5,none,5,1,normal,1,3,2,0.595,4.665706157684326,0,0,0
mnist,LeNet5,none,5,1,normal,1,3,3,0.6224,4.1571736335754395,0,0,0
mnist,LeNet5,none,5,1,normal,1,3,4,0.4891,5.169038772583008,0,0,0
mnist,LeNet5,none,5,1,normal,1,4,0,0.701,2.810443639755249,0,0,0
mnist,LeNet5,none,5,1,normal,1,4,1,0.5425,4.810419082641602,0,0,0
mnist,LeNet5,none,5,1,normal,1,4,2,0.5929,4.505319118499756,0,0,0
mnist,LeNet5,none,5,1,normal,1,4,3,0.6268,3.9709086418151855,0,0,0
mnist,LeNet5,none,5,1,normal,1,4,4,0.4901,5.044739246368408,0,0,0
mnist,LeNet5,none,5,1,normal,1,5,0,0.6995999999999999,2.767489433288574,0,0,0
mnist,LeNet5,none,5,1,normal,1,5,1,0.5679,4.784652233123779,0,0,0
mnist,LeNet5,none,5,1,normal,1,5,2,0.5914,4.659705638885498,0,0,0
