dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
cifar100,CNN1,none,5,3,fed_mutual,1,1,0,0.0602,8.910314559936523,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,1,1,0.05779999999999999,8.903032302856445,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,1,2,0.0687,9.073233604431152,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,1,3,0.065,9.05488395690918,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,1,4,0.0647,8.833892822265625,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,2,0,0.0767,8.94510555267334,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,2,1,0.0749,8.779167175292969,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,2,2,0.0796,8.6127290725708,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,2,3,0.0764,9.226544380187988,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,2,4,0.0729,9.002680778503418,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,3,0,0.077,8.459136009216309,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,3,1,0.0787,8.4886474609375,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,3,2,0.0814,8.592255592346191,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,3,3,0.0903,8.778572082519531,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,3,4,0.0798,8.514050483703613,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,4,0,0.0808,8.612446784973145,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,4,1,0.0832,8.683704376220703,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,4,2,0.08260000000000002,8.505727767944336,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,4,3,0.09180000000000002,8.514363288879395,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,4,4,0.0876,8.417539596557617,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,5,0,0.0867,8.565530776977539,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,5,1,0.0909,8.51509952545166,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,5,2,0.09,8.379255294799805,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,5,3,0.0996,8.787286758422852,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,5,4,0.0894,8.392707824707031,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,6,0,0.0932,8.711894989013672,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,6,1,0.0944,8.18927001953125,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,6,2,0.0909,8.568801879882812,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,6,3,0.1033,8.554553031921387,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,6,4,0.08900000000000001,7.841751575469971,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,7,0,0.0938,8.128580093383789,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,7,1,0.0973,8.120819091796875,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,7,2,0.09539999999999998,7.892211437225342,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,7,3,0.1084,8.245099067687988,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,7,4,0.09610000000000002,8.176396369934082,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,8,0,0.0981,8.083351135253906,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,8,1,0.0953,7.830272197723389,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,8,2,0.0996,7.665994167327881,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,8,3,0.1088,8.02562141418457,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,8,4,0.0928,8.065314292907715,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,9,0,0.09539999999999998,8.138328552246094,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,9,1,0.09849999999999999,7.917191505432129,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,9,2,0.1002,7.778141498565674,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,9,3,0.113,7.817339897155762,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,9,4,0.0975,7.879705429077148,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,10,0,0.102,8.343830108642578,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,10,1,0.10190000000000002,7.649338722229004,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,10,2,0.10280000000000002,7.9786176681518555,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,10,3,0.1108,8.256179809570312,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,10,4,0.099,7.620989799499512,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,11,0,0.1033,8.112318992614746,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,11,1,0.10310000000000001,8.021138191223145,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,11,2,0.1023,7.905057907104492,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,11,3,0.1157,7.844822406768799,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,11,4,0.1007,7.9512939453125,0,0,0
cifar100,CNN1,none,5,3,fed_mutual,1,12,0,0.1045,8.40316104888916,0,0,0
