dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
mnist,LeNet5,none,5,2,fed_prox,1,1,0,0.4573,4.6605916023254395,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,1,1,0.5935,3.519427537918091,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,1,2,0.3931,4.718788146972656,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,1,3,0.3953,5.812490463256836,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,1,4,0.4103,4.996714115142822,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,2,0,0.5049,3.3598763942718506,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,2,1,0.5939,3.2559688091278076,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,2,2,0.39640000000000003,4.479597091674805,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,2,3,0.395,4.650022029876709,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,2,4,0.4102,4.973206043243408,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,3,0,0.5977,2.354527473449707,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,3,1,0.5934,2.5468251705169678,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,3,2,0.3971,3.706973075866699,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,3,3,0.4044,3.633967638015747,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,3,4,0.4212,3.7512753009796143,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,4,0,0.6685,1.6303608417510986,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,4,1,0.6228,1.9635593891143799,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,4,2,0.4144,2.625148296356201,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,4,3,0.4393,2.616551637649536,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,4,4,0.4671,2.427664041519165,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,5,0,0.6653999999999999,1.6079039573669434,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,5,1,0.664,1.5290800333023071,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,5,2,0.4391,2.7401111125946045,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,5,3,0.5058,1.8455657958984375,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,5,4,0.5262,1.9574637413024902,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,6,0,0.6944,1.3571919202804565,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,6,1,0.6768,1.436518907546997,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,6,2,0.4825,2.221526622772217,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,6,3,0.5387,1.7652240991592407,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,6,4,0.5621,1.8031864166259766,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,7,0,0.6988,1.3735920190811157,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,7,1,0.7056999999999999,1.160488247871399,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,7,2,0.4744,2.474698066711426,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,7,3,0.5912,1.479648232460022,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,7,4,0.5803,1.680798888206482,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,8,0,0.7581,0.9150891304016113,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,8,1,0.6995999999999999,1.18690824508667,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,8,2,0.5023,2.092270612716675,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,8,3,0.5745,1.4638923406600952,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,8,4,0.6295,1.5050010681152344,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,9,0,0.7741,0.8638166785240173,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,9,1,0.7181000000000001,1.0920706987380981,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,9,2,0.5404,1.8202955722808838,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,9,3,0.6219,1.2299613952636719,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,9,4,0.6633,1.280495524406433,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,10,0,0.7864,0.8038246035575867,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,10,1,0.7496,0.9480764865875244,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,10,2,0.6033,1.5717778205871582,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,10,3,0.6808,1.0216223001480103,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,10,4,0.6518999999999999,1.3531590700149536,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,11,0,0.7698,0.877372682094574,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,11,1,0.7334,0.9666424989700317,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,11,2,0.6075,1.694772720336914,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,11,3,0.6832,1.1059211492538452,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,11,4,0.6938,1.2626312971115112,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,12,0,0.8193,0.6453046202659607,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,12,1,0.759,0.8686755299568176,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,12,2,0.6332,1.5241882801055908,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,12,3,0.7014,0.9957329034805298,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,12,4,0.6908999999999998,1.1809967756271362,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,13,0,0.7755,0.8759270310401917,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,13,1,0.8072,0.7501128911972046,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,13,2,0.6481999999999999,1.634326696395874,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,13,3,0.7198,0.9269518256187439,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,13,4,0.7126,1.0273833274841309,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,14,0,0.8214,0.6414220929145813,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,14,1,0.8276,0.604896605014801,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,14,2,0.6631,1.517666220664978,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,14,3,0.74,0.8685208559036255,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,14,4,0.7299,1.0142914056777954,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,15,0,0.7982,0.8072826266288757,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,15,1,0.8401,0.5580549240112305,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,15,2,0.664,1.402616262435913,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,15,3,0.7243,0.9010652899742126,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,15,4,0.7422,0.9798594117164612,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,16,0,0.8195999999999999,0.6661666035652161,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,16,1,0.8112,0.7186627984046936,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,16,2,0.6823,1.3176237344741821,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,16,3,0.7666,0.7618232369422913,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,16,4,0.7390000000000001,1.0561631917953491,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,17,0,0.8291,0.6773673892021179,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,17,1,0.8213000000000001,0.6166585683822632,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,17,2,0.6819,1.2778266668319702,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,17,3,0.8038,0.6219843029975891,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,17,4,0.7603,0.8155769109725952,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,18,0,0.8269,0.6315176486968994,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,18,1,0.851,0.4962879717350006,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,18,2,0.6644,1.4931329488754272,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,18,3,0.7631999999999999,0.8043825626373291,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,18,4,0.7825,0.7519468665122986,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,19,0,0.8553000000000001,0.5194446444511414,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,19,1,0.8500999999999999,0.5231134295463562,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,19,2,0.6537,1.3070679903030396,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,19,3,0.7639,0.7678978443145752,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,19,4,0.7498,0.9237841367721558,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,20,0,0.8385000000000001,0.5893884897232056,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,20,1,0.8548,0.4906650185585022,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,20,2,0.6694,1.3449897766113281,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,20,3,0.7786,0.7233960628509521,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,20,4,0.7498,0.9540219306945801,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,21,0,0.8421,0.5616575479507446,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,21,1,0.8676,0.45575788617134094,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,21,2,0.6782,1.5865615606307983,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,21,3,0.7847,0.7252458333969116,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,21,4,0.762,0.9050115346908569,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,22,0,0.8438,0.5682311654090881,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,22,1,0.871,0.43930473923683167,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,22,2,0.6414,1.738170862197876,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,22,3,0.7533999999999998,0.8249031901359558,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,22,4,0.7581,0.9448862671852112,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,23,0,0.8242,0.6466496586799622,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,23,1,0.8702,0.4429246187210083,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,23,2,0.6723,1.2865546941757202,0,0,0
mnist,LeNet5,none,5,2,fed_prox,1,23,3,0.8035,0.6190068125724792,0,0,0
