dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
cifar10,CNN2,none,5,2,fed_mutual,1,1,0,0.3012,5.611006259918213,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,1,1,0.2744,5.726759433746338,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,1,2,0.2216,8.131357192993164,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,1,3,0.2819,5.660210609436035,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,1,4,0.2989,5.29880428314209,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,2,0,0.3005,5.987673759460449,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,2,1,0.3042,6.181407451629639,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,2,2,0.2336,8.100088119506836,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,2,3,0.295,5.687282562255859,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,2,4,0.3142,5.089223384857178,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,3,0,0.32800000000000007,5.249191761016846,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,3,1,0.3035,5.808387279510498,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,3,2,0.2468,7.975351810455322,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,3,3,0.2824,5.488632678985596,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,3,4,0.3153,5.325395107269287,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,4,0,0.3197,5.997799873352051,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,4,1,0.3157,5.978653907775879,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,4,2,0.2533,7.398580074310303,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,4,3,0.2917,5.483343601226807,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,4,4,0.33160000000000006,4.852370262145996,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,5,0,0.3218,4.920962810516357,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,5,1,0.3192,5.367056846618652,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,5,2,0.2551,7.7927117347717285,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,5,3,0.3011,5.17684268951416,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,5,4,0.3347,5.159239768981934,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,6,0,0.3386,5.089648723602295,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,6,1,0.3214,5.300602436065674,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,6,2,0.2455,7.007706642150879,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,6,3,0.3082,5.168829441070557,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,6,4,0.3423999999999999,4.79901647567749,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,7,0,0.34130000000000005,5.107464790344238,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,7,1,0.327,5.365097522735596,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,7,2,0.2524,7.449741363525391,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,7,3,0.3123,5.002877712249756,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,7,4,0.3466,4.603565216064453,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,8,0,0.3322,5.534810543060303,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,8,1,0.3301,4.925567150115967,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,8,2,0.24420000000000003,7.389792442321777,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,8,3,0.3167,4.664496421813965,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,8,4,0.3492,4.485422134399414,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,9,0,0.33629999999999993,5.228030681610107,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,9,1,0.3306,5.198700428009033,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,9,2,0.251,7.268001079559326,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,9,3,0.3191,5.001612663269043,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,9,4,0.35480000000000006,4.834242343902588,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,10,0,0.34130000000000005,5.559531211853027,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,10,1,0.3298,4.657578468322754,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,10,2,0.2639,7.7786054611206055,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,10,3,0.3131,4.824371814727783,0,0,0
cifar10,CNN2,none,5,2,fed_mutual,1,10,4,0.3583,4.480281352996826,0,0,0
