dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
mnist,MLP,none,5,1,normal,1,1,0,0.6897999999999999,2.796093702316284,0,0,0
mnist,MLP,none,5,1,normal,1,1,1,0.5536,4.795262813568115,0,0,0
mnist,MLP,none,5,1,normal,1,1,2,0.5738,4.39838981628418,0,0,0
mnist,MLP,none,5,1,normal,1,1,3,0.6034,3.538034200668335,0,0,0
mnist,MLP,none,5,1,normal,1,1,4,0.47870000000000007,4.431467056274414,0,0,0
mnist,MLP,none,5,1,normal,1,2,0,0.6896,2.7517147064208984,0,0,0
mnist,MLP,none,5,1,normal,1,2,1,0.541,4.916253089904785,0,0,0
mnist,MLP,none,5,1,normal,1,2,2,0.575,4.148897647857666,0,0,0
mnist,MLP,none,5,1,normal,1,2,3,0.6108,3.3648157119750977,0,0,0
mnist,MLP,none,5,1,normal,1,2,4,0.4816,4.403190612792969,0,0,0
mnist,MLP,none,5,1,normal,1,3,0,0.6895,2.895416021347046,0,0,0
mnist,MLP,none,5,1,normal,1,3,1,0.5462,4.8035993576049805,0,0,0
mnist,MLP,none,5,1,normal,1,3,2,0.5769,4.612179279327393,0,0,0
mnist,MLP,none,5,1,normal,1,3,3,0.6103,3.2709553241729736,0,0,0
mnist,MLP,none,5,1,normal,1,3,4,0.4827,4.498772621154785,0,0,0
mnist,MLP,none,5,1,normal,1,4,0,0.6897,2.9610676765441895,0,0,0
mnist,MLP,none,5,1,normal,1,4,1,0.5446,4.7723588943481445,0,0,0
mnist,MLP,none,5,1,normal,1,4,2,0.5793,4.550385475158691,0,0,0
mnist,MLP,none,5,1,normal,1,4,3,0.6077,3.364262819290161,0,0,0
mnist,MLP,none,5,1,normal,1,4,4,0.4833,4.516241073608398,0,0,0
mnist,MLP,none,5,1,normal,1,5,0,0.6877,2.83795166015625,0,0,0
mnist,MLP,none,5,1,normal,1,5,1,0.551,4.58752965927124,0,0,0
mnist,MLP,none,5,1,normal,1,5,2,0.5795,4.326910495758057,0,0,0
mnist,MLP,none,5,1,normal,1,5,3,0.6079,3.3866686820983887,0,0,0
mnist,MLP,none,5,1,normal,1,5,4,0.4831,4.586331367492676,0,0,0
mnist,MLP,none,5,1,normal,1,6,0,0.6887000000000001,2.8308002948760986,0,0,0
mnist,MLP,none,5,1,normal,1,6,1,0.5378,5.136754035949707,0,0,0
mnist,MLP,none,5,1,normal,1,6,2,0.5774,4.351993560791016,0,0,0
mnist,MLP,none,5,1,normal,1,6,3,0.6109,3.520998477935791,0,0,0
mnist,MLP,none,5,1,normal,1,6,4,0.4832,4.559439659118652,0,0,0
mnist,MLP,none,5,1,normal,1,7,0,0.6925,2.8516170978546143,0,0,0
mnist,MLP,none,5,1,normal,1,7,1,0.5389,4.9115424156188965,0,0,0
mnist,MLP,none,5,1,normal,1,7,2,0.5666,4.451976299285889,0,0,0
mnist,MLP,none,5,1,normal,1,7,3,0.6081,3.558971643447876,0,0,0
mnist,MLP,none,5,1,normal,1,7,4,0.4827,4.559237957000732,0,0,0
mnist,MLP,none,5,1,normal,1,8,0,0.6899,2.917102813720703,0,0,0
mnist,MLP,none,5,1,normal,1,8,1,0.5481,4.858190536499023,0,0,0
mnist,MLP,none,5,1,normal,1,8,2,0.5723,4.16128396987915,0,0,0
mnist,MLP,none,5,1,normal,1,8,3,0.6065,3.395157814025879,0,0,0
mnist,MLP,none,5,1,normal,1,8,4,0.48230000000000006,4.502893447875977,0,0,0
mnist,MLP,none,5,1,normal,1,9,0,0.6901,2.829923391342163,0,0,0
mnist,MLP,none,5,1,normal,1,9,1,0.5283,4.843222618103027,0,0,0
mnist,MLP,none,5,1,normal,1,9,2,0.581,4.422507286071777,0,0,0
mnist,MLP,none,5,1,normal,1,9,3,0.6137,3.488469362258911,0,0,0
mnist,MLP,none,5,1,normal,1,9,4,0.4797,4.3617119789123535,0,0,0
mnist,MLP,none,5,1,normal,1,10,0,0.6912,2.8428633213043213,0,0,0
mnist,MLP,none,5,1,normal,1,10,1,0.5549,4.628514766693115,0,0,0
mnist,MLP,none,5,1,normal,1,10,2,0.5771,4.352088928222656,0,0,0
mnist,MLP,none,5,1,normal,1,10,3,0.6076,3.4057931900024414,0,0,0
mnist,MLP,none,5,1,normal,1,10,4,0.4837,4.6507568359375,0,0,0
mnist,MLP,none,5,1,normal,1,11,0,0.6893,2.924319267272949,0,0,0
mnist,MLP,none,5,1,normal,1,11,1,0.5424,4.988242149353027,0,0,0
mnist,MLP,none,5,1,normal,1,11,2,0.5766,4.170501708984375,0,0,0
mnist,MLP,none,5,1,normal,1,11,3,0.5969,3.5611419677734375,0,0,0
mnist,MLP,none,5,1,normal,1,11,4,0.4828,4.626195907592773,0,0,0
mnist,MLP,none,5,1,normal,1,12,0,0.6915,2.905510663986206,0,0,0
mnist,MLP,none,5,1,normal,1,12,1,0.5342,5.048446178436279,0,0,0
mnist,MLP,none,5,1,normal,1,12,2,0.5761,4.151091575622559,0,0,0
mnist,MLP,none,5,1,normal,1,12,3,0.6089,3.4830732345581055,0,0,0
mnist,MLP,none,5,1,normal,1,12,4,0.4833,4.550356388092041,0,0,0
mnist,MLP,none,5,1,normal,1,13,0,0.6917,2.718752384185791,0,0,0
mnist,MLP,none,5,1,normal,1,13,1,0.5385,4.967537879943848,0,0,0
mnist,MLP,none,5,1,normal,1,13,2,0.5749,4.569799423217773,0,0,0
mnist,MLP,none,5,1,normal,1,13,3,0.6126,3.3380868434906006,0,0,0
mnist,MLP,none,5,1,normal,1,13,4,0.4814,4.463083267211914,0,0,0
mnist,MLP,none,5,1,normal,1,14,0,0.6911,2.8165676593780518,0,0,0
mnist,MLP,none,5,1,normal,1,14,1,0.5468,5.024442195892334,0,0,0
mnist,MLP,none,5,1,normal,1,14,2,0.5761,4.6202263832092285,0,0,0
mnist,MLP,none,5,1,normal,1,14,3,0.6055,3.3271546363830566,0,0,0
mnist,MLP,none,5,1,normal,1,14,4,0.4815,4.599431037902832,0,0,0
mnist,MLP,none,5,1,normal,1,15,0,0.6916,2.752000093460083,0,0,0
mnist,MLP,none,5,1,normal,1,15,1,0.5495,4.936630725860596,0,0,0
mnist,MLP,none,5,1,normal,1,15,2,0.5795,4.3364105224609375,0,0,0
mnist,MLP,none,5,1,normal,1,15,3,0.6168,3.269479990005493,0,0,0
mnist,MLP,none,5,1,normal,1,15,4,0.4818,4.468991279602051,0,0,0
mnist,MLP,none,5,1,normal,1,16,0,0.6908,2.779604911804199,0,0,0
mnist,MLP,none,5,1,normal,1,16,1,0.5433,4.770961284637451,0,0,0
mnist,MLP,none,5,1,normal,1,16,2,0.5736,4.5600409507751465,0,0,0
mnist,MLP,none,5,1,normal,1,16,3,0.6143,3.3507912158966064,0,0,0
mnist,MLP,none,5,1,normal,1,16,4,0.4831,4.596224308013916,0,0,0
mnist,MLP,none,5,1,normal,1,17,0,0.6892,2.854551076889038,0,0,0
mnist,MLP,none,5,1,normal,1,17,1,0.5471,4.887096405029297,0,0,0
mnist,MLP,none,5,1,normal,1,17,2,0.5734,4.65362548828125,0,0,0
mnist,MLP,none,5,1,normal,1,17,3,0.6148,3.349076271057129,0,0,0
mnist,MLP,none,5,1,normal,1,17,4,0.4827,4.442124366760254,0,0,0
mnist,MLP,none,5,1,normal,1,18,0,0.6883,2.9705564975738525,0,0,0
mnist,MLP,none,5,1,normal,1,18,1,0.5522,4.777404308319092,0,0,0
mnist,MLP,none,5,1,normal,1,18,2,0.5724,4.421576023101807,0,0,0
mnist,MLP,none,5,1,normal,1,18,3,0.6154,3.300074815750122,0,0,0
mnist,MLP,none,5,1,normal,1,18,4,0.4843,4.489301681518555,0,0,0
mnist,MLP,none,5,1,normal,1,19,0,0.6893,2.7471859455108643,0,0,0
mnist,MLP,none,5,1,normal,1,19,1,0.5446,4.909195899963379,0,0,0
mnist,MLP,none,5,1,normal,1,19,2,0.5784,4.2778801918029785,0,0,0
mnist,MLP,none,5,1,normal,1,19,3,0.6127,3.2479074001312256,0,0,0
mnist,MLP,none,5,1,normal,1,19,4,0.4820999999999999,4.576155185699463,0,0,0
mnist,MLP,none,5,1,normal,1,20,0,0.6873999999999999,2.978468894958496,0,0,0
mnist,MLP,none,5,1,normal,1,20,1,0.5412,4.787319183349609,0,0,0
mnist,MLP,none,5,1,normal,1,20,2,0.5756,4.186891078948975,0,0,0
mnist,MLP,none,5,1,normal,1,20,3,0.6108,3.2204530239105225,0,0,0
mnist,MLP,none,5,1,normal,1,20,4,0.4832,4.332465648651123,0,0,0
mnist,MLP,none,5,1,normal,1,21,0,0.6914,2.9483635425567627,0,0,0
mnist,MLP,none,5,1,normal,1,21,1,0.5418,4.926716327667236,0,0,0
mnist,MLP,none,5,1,normal,1,21,2,0.5791,4.431141376495361,0,0,0
mnist,MLP,none,5,1,normal,1,21,3,0.6124,3.4279093742370605,0,0,0
mnist,MLP,none,5,1,normal,1,21,4,0.4819,4.556058406829834,0,0,0
mnist,MLP,none,5,1,normal,1,22,0,0.6912,2.825157880783081,0,0,0
mnist,MLP,none,5,1,normal,1,22,1,0.5497,4.771004676818848,0,0,0
mnist,MLP,none,5,1,normal,1,22,2,0.5744,4.600710391998291,0,0,0
mnist,MLP,none,5,1,normal,1,22,3,0.6112,3.332310914993286,0,0,0
mnist,MLP,none,5,1,normal,1,22,4,0.4836,4.554561614990234,0,0,0
mnist,MLP,none,5,1,normal,1,23,0,0.6871,2.832369804382324,0,0,0
mnist,MLP,none,5,1,normal,1,23,1,0.543,4.689276218414307,0,0,0
mnist,MLP,none,5,1,normal,1,23,2,0.5756,4.275811672210693,0,0,0
mnist,MLP,none,5,1,normal,1,23,3,0.6083,3.431313991546631,0,0,0
mnist,MLP,none,5,1,normal,1,23,4,0.4824,4.613952159881592,0,0,0
mnist,MLP,none,5,1,normal,1,24,0,0.6872,2.809415817260742,0,0,0
mnist,MLP,none,5,1,normal,1,24,1,0.5477,4.884588718414307,0,0,0
mnist,MLP,none,5,1,normal,1,24,2,0.5717,4.421030044555664,0,0,0
mnist,MLP,none,5,1,normal,1,24,3,0.6135,3.398591995239258,0,0,0
mnist,MLP,none,5,1,normal,1,24,4,0.4833,4.553515434265137,0,0,0
mnist,MLP,none,5,1,normal,1,25,0,0.6919,2.8525664806365967,0,0,0
mnist,MLP,none,5,1,normal,1,25,1,0.5456,4.825905799865723,0,0,0
mnist,MLP,none,5,1,normal,1,25,2,0.5734,4.468190670013428,0,0,0
mnist,MLP,none,5,1,normal,1,25,3,0.6091,3.4271352291107178,0,0,0
mnist,MLP,none,5,1,normal,1,25,4,0.4827,4.67481803894043,0,0,0
mnist,MLP,none,5,1,normal,1,26,0,0.6927,2.9744794368743896,0,0,0
mnist,MLP,none,5,1,normal,1,26,1,0.5429,4.886791706085205,0,0,0
mnist,MLP,none,5,1,normal,1,26,2,0.5763,4.30974817276001,0,0,0
mnist,MLP,none,5,1,normal,1,26,3,0.6116,3.2484304904937744,0,0,0
mnist,MLP,none,5,1,normal,1,26,4,0.4826,4.555140018463135,0,0,0
mnist,MLP,none,5,1,normal,1,27,0,0.6933,2.9734854698181152,0,0,0
mnist,MLP,none,5,1,normal,1,27,1,0.5486,4.804594039916992,0,0,0
mnist,MLP,none,5,1,normal,1,27,2,0.572,4.334967613220215,0,0,0
mnist,MLP,none,5,1,normal,1,27,3,0.6143,3.1798622608184814,0,0,0
mnist,MLP,none,5,1,normal,1,27,4,0.4841,4.616532802581787,0,0,0
mnist,MLP,none,5,1,normal,1,28,0,0.6918,2.922785758972168,0,0,0
mnist,MLP,none,5,1,normal,1,28,1,0.5524,4.685573101043701,0,0,0
mnist,MLP,none,5,1,normal,1,28,2,0.579,4.335981845855713,0,0,0
mnist,MLP,none,5,1,normal,1,28,3,0.6071,3.422851324081421,0,0,0
mnist,MLP,none,5,1,normal,1,28,4,0.483,4.276748180389404,0,0,0
mnist,MLP,none,5,1,normal,1,29,0,0.6901,2.8919615745544434,0,0,0
mnist,MLP,none,5,1,normal,1,29,1,0.5456,4.820860385894775,0,0,0
mnist,MLP,none,5,1,normal,1,29,2,0.5772,4.22080659866333,0,0,0
mnist,MLP,none,5,1,normal,1,29,3,0.6079,3.490074872970581,0,0,0
mnist,MLP,none,5,1,normal,1,29,4,0.4833,4.630651950836182,0,0,0
mnist,MLP,none,5,1,normal,1,30,0,0.6908,2.9269583225250244,0,0,0
mnist,MLP,none,5,1,normal,1,30,1,0.5446,4.8667473793029785,0,0,0
mnist,MLP,none,5,1,normal,1,30,2,0.5788,4.231863975524902,0,0,0
mnist,MLP,none,5,1,normal,1,30,3,0.6114,3.3925435543060303,0,0,0
mnist,MLP,none,5,1,normal,1,30,4,0.4817,4.330024719238281,0,0,0
