dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
mnist,MLP,none,5,0,fed_prox,1,1,0,0.9453,0.1857917159795761,0,0,0
mnist,MLP,none,5,0,fed_prox,1,1,1,0.9417,0.18928839266300201,0,0,0
mnist,MLP,none,5,0,fed_prox,1,1,2,0.944,0.1830541491508484,0,0,0
mnist,MLP,none,5,0,fed_prox,1,1,3,0.9481,0.1774267703294754,0,0,0
mnist,MLP,none,5,0,fed_prox,1,1,4,0.9445,0.1814003884792328,0,0,0
mnist,MLP,none,5,0,fed_prox,1,2,0,0.9595,0.1308554857969284,0,0,0
mnist,MLP,none,5,0,fed_prox,1,2,1,0.9604,0.12912648916244507,0,0,0
mnist,MLP,none,5,0,fed_prox,1,2,2,0.9582,0.13442189991474152,0,0,0
mnist,MLP,none,5,0,fed_prox,1,2,3,0.9596000000000001,0.12920798361301422,0,0,0
mnist,MLP,none,5,0,fed_prox,1,2,4,0.9609000000000001,0.12406405061483383,0,0,0
mnist,MLP,none,5,0,fed_prox,1,3,0,0.9665,0.10850684344768524,0,0,0
mnist,MLP,none,5,0,fed_prox,1,3,1,0.9667,0.1060236245393753,0,0,0
mnist,MLP,none,5,0,fed_prox,1,3,2,0.9689,0.09960886090993881,0,0,0
mnist,MLP,none,5,0,fed_prox,1,3,3,0.9674,0.10057369619607925,0,0,0
mnist,MLP,none,5,0,fed_prox,1,3,4,0.968,0.10294567048549652,0,0,0
mnist,MLP,none,5,0,fed_prox,1,4,0,0.9713,0.09200946241617203,0,0,0
mnist,MLP,none,5,0,fed_prox,1,4,1,0.97,0.09408007562160492,0,0,0
mnist,MLP,none,5,0,fed_prox,1,4,2,0.972,0.09092894196510315,0,0,0
mnist,MLP,none,5,0,fed_prox,1,4,3,0.9707000000000001,0.09008210897445679,0,0,0
mnist,MLP,none,5,0,fed_prox,1,4,4,0.9718000000000001,0.08949293941259384,0,0,0
mnist,MLP,none,5,0,fed_prox,1,5,0,0.9739,0.08287998288869858,0,0,0
mnist,MLP,none,5,0,fed_prox,1,5,1,0.9722,0.0895986333489418,0,0,0
mnist,MLP,none,5,0,fed_prox,1,5,2,0.9741,0.08318621665239334,0,0,0
mnist,MLP,none,5,0,fed_prox,1,5,3,0.9732,0.08647594600915909,0,0,0
mnist,MLP,none,5,0,fed_prox,1,5,4,0.9749,0.08007354289293289,0,0,0
mnist,MLP,none,5,0,fed_prox,1,6,0,0.9756,0.0755426287651062,0,0,0
mnist,MLP,none,5,0,fed_prox,1,6,1,0.9747,0.08067330718040466,0,0,0
mnist,MLP,none,5,0,fed_prox,1,6,2,0.9749,0.08186494559049606,0,0,0
mnist,MLP,none,5,0,fed_prox,1,6,3,0.9746000000000001,0.079710453748703,0,0,0
mnist,MLP,none,5,0,fed_prox,1,6,4,0.9752,0.07476522773504257,0,0,0
mnist,MLP,none,5,0,fed_prox,1,7,0,0.9765999999999999,0.07393916696310043,0,0,0
mnist,MLP,none,5,0,fed_prox,1,7,1,0.9765999999999999,0.07859452068805695,0,0,0
mnist,MLP,none,5,0,fed_prox,1,7,2,0.9778,0.0743136778473854,0,0,0
mnist,MLP,none,5,0,fed_prox,1,7,3,0.976,0.07735205441713333,0,0,0
mnist,MLP,none,5,0,fed_prox,1,7,4,0.9757000000000001,0.07551702857017517,0,0,0
mnist,MLP,none,5,0,fed_prox,1,8,0,0.9785,0.06976050138473511,0,0,0
mnist,MLP,none,5,0,fed_prox,1,8,1,0.976,0.07614807784557343,0,0,0
mnist,MLP,none,5,0,fed_prox,1,8,2,0.9768000000000001,0.07531701773405075,0,0,0
mnist,MLP,none,5,0,fed_prox,1,8,3,0.9783,0.07059117406606674,0,0,0
mnist,MLP,none,5,0,fed_prox,1,8,4,0.9773,0.0709761530160904,0,0,0
mnist,MLP,none,5,0,fed_prox,1,9,0,0.9782,0.06862366199493408,0,0,0
mnist,MLP,none,5,0,fed_prox,1,9,1,0.9765999999999999,0.0741085633635521,0,0,0
mnist,MLP,none,5,0,fed_prox,1,9,2,0.9782,0.0724378153681755,0,0,0
mnist,MLP,none,5,0,fed_prox,1,9,3,0.9786,0.07000228017568588,0,0,0
mnist,MLP,none,5,0,fed_prox,1,9,4,0.9784,0.07098114490509033,0,0,0
mnist,MLP,none,5,0,fed_prox,1,10,0,0.98,0.06730176508426666,0,0,0
mnist,MLP,none,5,0,fed_prox,1,10,1,0.978,0.07523088157176971,0,0,0
mnist,MLP,none,5,0,fed_prox,1,10,2,0.9783,0.07059063762426376,0,0,0
mnist,MLP,none,5,0,fed_prox,1,10,3,0.9784,0.0695224404335022,0,0,0
mnist,MLP,none,5,0,fed_prox,1,10,4,0.9789999999999999,0.06793132424354553,0,0,0
mnist,MLP,none,5,0,fed_prox,1,11,0,0.9799,0.06509159505367279,0,0,0
mnist,MLP,none,5,0,fed_prox,1,11,1,0.9778,0.07162681221961975,0,0,0
mnist,MLP,none,5,0,fed_prox,1,11,2,0.9797,0.06781817227602005,0,0,0
mnist,MLP,none,5,0,fed_prox,1,11,3,0.9796,0.06730528175830841,0,0,0
mnist,MLP,none,5,0,fed_prox,1,11,4,0.9789999999999999,0.0686059445142746,0,0,0
mnist,MLP,none,5,0,fed_prox,1,12,0,0.9807000000000001,0.06562509387731552,0,0,0
mnist,MLP,none,5,0,fed_prox,1,12,1,0.9785,0.07171162962913513,0,0,0
mnist,MLP,none,5,0,fed_prox,1,12,2,0.9796,0.06729442626237869,0,0,0
mnist,MLP,none,5,0,fed_prox,1,12,3,0.9800999999999999,0.06888953596353531,0,0,0
mnist,MLP,none,5,0,fed_prox,1,12,4,0.9787,0.06769808381795883,0,0,0
mnist,MLP,none,5,0,fed_prox,1,13,0,0.9807000000000001,0.06453856825828552,0,0,0
mnist,MLP,none,5,0,fed_prox,1,13,1,0.9793999999999999,0.06813731789588928,0,0,0
mnist,MLP,none,5,0,fed_prox,1,13,2,0.9799,0.0676036924123764,0,0,0
mnist,MLP,none,5,0,fed_prox,1,13,3,0.9796,0.0671585276722908,0,0,0
mnist,MLP,none,5,0,fed_prox,1,13,4,0.9796,0.06843911856412888,0,0,0
mnist,MLP,none,5,0,fed_prox,1,14,0,0.9815999999999999,0.0638071596622467,0,0,0
mnist,MLP,none,5,0,fed_prox,1,14,1,0.9791,0.0700320452451706,0,0,0
mnist,MLP,none,5,0,fed_prox,1,14,2,0.9807000000000001,0.06607997417449951,0,0,0
mnist,MLP,none,5,0,fed_prox,1,14,3,0.9802,0.06556745618581772,0,0,0
mnist,MLP,none,5,0,fed_prox,1,14,4,0.9800999999999999,0.06394802778959274,0,0,0
mnist,MLP,none,5,0,fed_prox,1,15,0,0.9808,0.06478725373744965,0,0,0
mnist,MLP,none,5,0,fed_prox,1,15,1,0.9793999999999999,0.06937279552221298,0,0,0
mnist,MLP,none,5,0,fed_prox,1,15,2,0.9809,0.06568553298711777,0,0,0
mnist,MLP,none,5,0,fed_prox,1,15,3,0.9804,0.06418917328119278,0,0,0
mnist,MLP,none,5,0,fed_prox,1,15,4,0.9804999999999999,0.06464746594429016,0,0,0
mnist,MLP,none,5,0,fed_prox,1,16,0,0.9811999999999999,0.06367222219705582,0,0,0
mnist,MLP,none,5,0,fed_prox,1,16,1,0.9798,0.06833138316869736,0,0,0
mnist,MLP,none,5,0,fed_prox,1,16,2,0.9804999999999999,0.06569865345954895,0,0,0
mnist,MLP,none,5,0,fed_prox,1,16,3,0.9806,0.06485559791326523,0,0,0
mnist,MLP,none,5,0,fed_prox,1,16,4,0.9806,0.06293345242738724,0,0,0
mnist,MLP,none,5,0,fed_prox,1,17,0,0.9815,0.06226671487092972,0,0,0
mnist,MLP,none,5,0,fed_prox,1,17,1,0.9796,0.06646622717380524,0,0,0
mnist,MLP,none,5,0,fed_prox,1,17,2,0.9814,0.06504763662815094,0,0,0
mnist,MLP,none,5,0,fed_prox,1,17,3,0.9807000000000001,0.06374675035476685,0,0,0
mnist,MLP,none,5,0,fed_prox,1,17,4,0.9804999999999999,0.06364758312702179,0,0,0
