dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
cifar10,CNN1,none,5,1,fed_prox,1,1,0,0.2794,4.274230003356934,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,1,1,0.3365000000000001,3.6996703147888184,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,1,2,0.2914,4.443809509277344,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,1,3,0.32170000000000004,3.955596923828125,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,1,4,0.2948,4.4761552810668945,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,2,0,0.3081,4.232795715332031,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,2,1,0.3636,4.133039951324463,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,2,2,0.3202999999999999,4.348058700561523,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,2,3,0.3586,3.833017587661743,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,2,4,0.3125,4.626691818237305,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,3,0,0.33129999999999993,3.938544273376465,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,3,1,0.3815,3.8366150856018066,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,3,2,0.3404,4.049139499664307,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,3,3,0.3785,3.4928009510040283,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,3,4,0.3137,4.1173577308654785,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,4,0,0.3421,3.8003363609313965,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,4,1,0.3801,3.66168212890625,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,4,2,0.3119,3.8885672092437744,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,4,3,0.38170000000000004,3.4700522422790527,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,4,4,0.3326,4.376006126403809,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,5,0,0.3448,3.4712541103363037,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,5,1,0.38670000000000004,3.4400522708892822,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,5,2,0.34260000000000007,4.0385847091674805,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,5,3,0.3799,3.2790465354919434,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,5,4,0.3251,3.96510648727417,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,6,0,0.3544,3.349785566329956,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,6,1,0.38530000000000003,3.778366804122925,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,6,2,0.3081,3.965256690979004,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,6,3,0.3993,3.2693235874176025,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,6,4,0.3245,3.875145435333252,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,7,0,0.35600000000000004,3.6441774368286133,0,0,0
cifar10,CNN1,none,5,1,fed_prox,1,7,1,0.4004,3.3804402351379395,0,0,0
