dataset,model,net,size,iid,alg,rep,round,agent,acc,loss,err,nmsg,msiz
cifar10,CNN2,none,5,1,fed_prox,1,1,0,0.318,4.728888988494873,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,1,1,0.3746,5.067931175231934,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,1,2,0.34020000000000006,4.619290828704834,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,1,3,0.3795,3.821913719177246,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,1,4,0.2896,5.340541362762451,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,2,0,0.3588,4.700392723083496,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,2,1,0.3934,4.398592948913574,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,2,2,0.3673,4.325068473815918,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,2,3,0.4055,3.7144358158111572,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,2,4,0.3257,4.6514692306518555,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,3,0,0.3763,3.946566104888916,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,3,1,0.38299999999999995,4.610747814178467,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,3,2,0.3822,4.571363925933838,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,3,3,0.4276,3.8403220176696777,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,3,4,0.3686,4.338711261749268,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,4,0,0.3786,4.153899669647217,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,4,1,0.4139,4.18332576751709,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,4,2,0.3671,3.609290599822998,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,4,3,0.4457,3.3009541034698486,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,4,4,0.338,4.342273712158203,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,5,0,0.3869,3.991041898727417,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,5,1,0.4375,3.6246910095214844,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,5,2,0.3798,4.11593770980835,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,5,3,0.4353,3.4013402462005615,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,5,4,0.3567,3.399348497390747,0,0,0
cifar10,CNN2,none,5,1,fed_prox,1,6,0,0.4018,3.6180660724639893,0,0,0
